Assembly,Repository,Category,To be documented in version 1
AGS_oM,https://github.com/BHoM/AGS_Toolkit,Adapter,TRUE
CarbonQueryDatabase_oM,https://github.com/BHoM/CarbonQueryDatabase_Toolkit,Adapter,TRUE
ETABS_oM,https://github.com/BHoM/ETABS_Toolkit,Adapter,TRUE
Excel_oM,https://github.com/BHoM/Excel_Toolkit,Adapter,TRUE
File_oM,https://github.com/BHoM/File_Toolkit,Adapter,TRUE
GSA_oM,https://github.com/BHoM/GSA_Toolkit,Adapter,TRUE
HTTP_oM,https://github.com/BHoM/HTTP_Toolkit,Adapter,TRUE
iAuditor_oM,https://github.com/BHoM/iAuditor_Toolkit,Adapter,TRUE
IES_oM,https://github.com/BHoM/IES_Toolkit,Adapter,TRUE
Karamba3D_oM,https://github.com/BHoM/Karamba3D_Toolkit,Adapter,TRUE
LadybugTools_oM,https://github.com/BHoM/LadybugTools_Toolkit,Adapter,TRUE
Lusas_oM,https://github.com/BHoM/Lusas_Toolkit,Adapter,TRUE
MidasCivil_oM,https://github.com/BHoM/MidasCivil_Toolkit,Adapter,TRUE
Mongo_oM,https://github.com/BHoM/Mongo_Toolkit,Adapter,TRUE
OpenStreetMap_oM,https://github.com/BHoM/OpenStreetMap_Toolkit,Adapter,TRUE
PowerPoint_oM,https://github.com/BHoM/PowerPoint_Toolkit,Adapter,TRUE
RAM_oM,https://github.com/BHoM/RAM_Toolkit,Adapter,TRUE
Revit_oM,https://github.com/BHoM/Revit_Toolkit,Adapter,TRUE
RFEM5_oM,https://github.com/BHoM/RFEM5_Toolkit,Adapter,TRUE
RFEM6_oM,https://github.com/BHoM/RFEM6_Toolkit,Adapter,TRUE
Robot_oM,https://github.com/BHoM/Robot_Toolkit,Adapter,TRUE
SAP_oM,https://github.com/BHoM/SAP_Toolkit,Adapter,TRUE
SAP2000_oM,https://github.com/BHoM/SAP2000_Toolkit,Adapter,TRUE
Socket_oM,https://github.com/BHoM/Socket_Toolkit,Adapter,TRUE
SQL_oM,https://github.com/BHoM/SQL_Toolkit,Adapter,TRUE
STL_oM,https://github.com/BHoM/STL_Toolkit,Adapter,TRUE
XML_oM,https://github.com/BHoM/XML_Toolkit,Adapter,TRUE
Acoustic_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Architecture_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Environment_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Facade_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Ground_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
LifeCycleAssessment_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Lighting_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
MEP_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Security_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Structure_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
EmbodiedSuffering_oM,https://github.com/BHoM/EmbodiedSuffering_Toolkit,Analytical,TRUE
Analytical_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Inspection_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Planning_oM,https://github.com/BHoM/BHoM,Analytical,TRUE
Dimensional_oM,https://github.com/BHoM/BHoM,Dimensional,TRUE
Geometry_oM,https://github.com/BHoM/BHoM,Dimensional,TRUE
Matter_oM,https://github.com/BHoM/BHoM,Dimensional,TRUE
Spatial_oM,https://github.com/BHoM/BHoM,Dimensional,TRUE
Quantities_oM,https://github.com/BHoM/BHoM,Dimensional,TRUE
Adapter_oM,https://github.com/BHoM/BHoM_Adapter,Framework,TRUE
BHoM,https://github.com/BHoM/BHoM,Framework,TRUE
Data_oM,https://github.com/BHoM/BHoM,Framework,TRUE
DeepLearning_oM,https://github.com/BHoM/BHoM,Framework,TRUE
Diffing_oM,https://github.com/BHoM/BHoM,Framework,TRUE
Programming_oM,https://github.com/BHoM/BHoM,Framework,TRUE
Search_oM,https://github.com/BHoM/BHoM,Framework,TRUE
Test_oM,https://github.com/BHoM/BHoM,Framework,TRUE
Verification_oM,https://github.com/BHoM/BHoM,Framework,TRUE
Versioning_oM,https://github.com/BHoM/BHoM,Framework,TRUE
BHoMAnalytics_oM,https://github.com/BHoM/BHoMAnalytics_Toolkit,Framework,FALSE
CSharp_oM,https://github.com/BHoM/CSharp_Toolkit,Framework,TRUE
Units_oM,https://github.com/BHoM/Localisation_Toolkit,Framework,TRUE
Python_oM,https://github.com/BHoM/Python_Toolkit,Framework,FALSE
CodeComplianceTest_oM,https://github.com/BHoM/Test_Toolkit,Framework,FALSE
InteroperabilityTest_oM,https://github.com/BHoM/Test_Toolkit,Framework,FALSE
NUnit_oM,https://github.com/BHoM/Test_Toolkit,Framework,FALSE
UnitTest_oM,https://github.com/BHoM/Test_Toolkit,Framework,FALSE
Graphics_oM,https://github.com/BHoM/BHoM,Graphics,TRUE
Humans_oM,https://github.com/BHoM/BHoM,Physical,TRUE
Physical_oM,https://github.com/BHoM/BHoM,Physical,TRUE
UI_oM,https://github.com/BHoM/BHoM_UI,UI,TRUE
Grasshopper_oM,https://github.com/BHoM/Grasshopper_UI,UI,TRUE
Rhinoceros_oM,https://github.com/BHoM/Rhinoceros_Toolkit,UI,TRUE
dKoP_oM,https://github.com/BHoM/dKoP_Toolkit,Physical,TRUE
